name,warranty,shipping,ships_in,country_of_origin,sin,part_no,gsa_schedule
781590-01 - National Instruments Corporation VNA Verification Kit (NIST Traceable),0 Stnd,FOB Destination,30 Days,United States,627-3,,GS-24F-0066M Exp. 10 Sep. 2022
"776572-42 - National Instruments Corporation SCXI-1142, 8-Channel Bessel Filter",0 Stnd,FOB Destination,30 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
780315-01 - National Instruments Corporation Rugged Carrying Case for Portable Instrumentation,0 Stnd,FOB Destination,10 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
781780-01 - National Instruments Corporation PMI 1450B Local Oscillator,0 Stnd,FOB Destination,20 Days,United States,627-3,,GS-24F-0066M Exp. 10 Sep. 2022
781961-3501 - National Instruments Corporation NI Video Measurement Suite Software- Analog,0 Stnd,FOB Destination,10 Days,Ireland,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
782031-01 - National Instruments Corporation Light bracket for 177x Smart Cameras,0 Stnd,FOB Destination,20 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"781951-35 - National Instruments Corporation LabVIEW for ARM Microcontrollers, Devry",0 Stnd,FOB Destination,10 Days,Ireland,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
781717-06 - National Instruments Corporation NI CMD to CMD Cable (2m),0 Stnd,FOB Destination,30 Days,United States,627-1,,GS-24F-0066M Exp. 10 Sep. 2022
781961-3503 - National Instruments Corporation NI Video Measurement Suite Software- Digital,0 Stnd,FOB Destination,10 Days,Ireland,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
782643-01 - National Instruments Corporation NI NOx CAN Module Interface Cable,0 Stnd,FOB Destination,20 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
781514-01 - National Instruments Corporation USB X Series mounting kit,0 Stnd,FOB Destination,10 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
"780487-01 - National Instruments Corporation Torque Screwdriver, Preset (100 NCM)",0 Stnd,FOB Destination,20 Days,United States,627-15,,GS-24F-0066M Exp. 10 Sep. 2022
777119-02 - National Instruments Corporation VXI-PCI8015 Windows,0 Stnd,FOB Destination,15 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
782984-35 - National Instruments Corporation LabVIEW Model Interface Toolkit,0 Stnd,FOB Destination,10 Days,Ireland,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
780474-01 - National Instruments Corporation VideoMUX hardware accessory only,0 Stnd,FOB Destination,30 Days,Denmark,627-1,,GS-24F-0066M Exp. 10 Sep. 2022
781781-01 - National Instruments Corporation PMI 1410 Preselector and Attenuator,0 Stnd,FOB Destination,20 Days,United States,627-3,,GS-24F-0066M Exp. 10 Sep. 2022
780316-01 - National Instruments Corporation NI PXI-8250 System Monitor Module,0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
781372-35 - National Instruments Corporation LabVIEW Robotics Deployment License,0 Stnd,FOB Destination,10 Days,Ireland,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
780587-93 - National Instruments Corporation NI PXIe-2593 500 MHz Multiplexer,0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
778553-35 - National Instruments Corporation Motion Assistant SW for Motion Control Programming,0 Stnd,FOB Destination,10 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"778622-64 - National Instruments Corporation Compact Flash, 64 MB, Industrially Rated",0 Stnd,FOB Destination,30 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
777207-03 - National Instruments Corporation TBX-1303 General Purpose Terminal Block,0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"780223-01 - National Instruments Corporation Light, Linear Array (Red)",0 Stnd,FOB Destination,20 Days,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"776947-01 - National Instruments Corporation GPIB Connector, Covers (Male), Quantity of 4",0 Stnd,FOB Destination,10 Days,Taiwan,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
778572-75 - National Instruments Corporation NI PXI-2575 196 Channel Multiplexer,0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
777550-01 - National Instruments Corporation USB Cable Strain Relief for Laptop,0 Stnd,FOB Destination,10 Days,United States,602-14,,GS-24F-0066M Exp. 10 Sep. 2022
778510-01 - National Instruments Corporation NI PCI-6733 Analog Output Board,0 Stnd,FOB Destination,5 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
