name,warranty,shipping,ships_in,country_of_origin,sin,part_no,gsa_schedule
"779436-51 - National Instruments Corporation NI USB-9211A 4-ch, 24 bit Thermocouple Input, Hardware only",0 Stnd,FOB Destination,30 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"780030-01 - National Instruments Corporation NI 9426 with DSub 32-Channel 24 V, 7 us, Sourcing Digital Input Module",0 Stnd,FOB Destination,10 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
S46T-SPDT-KIT-T - Keithley Instruments Inc. SPDT 18GHZ TER RELAY,0 Stnd,FOB Destination,12 Weeks,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
"2151.14 - AEMC Instruments Lead - Replacement, Set of 3, 9 ft Color-coded (15kV) Integral Leads & Clips for Models 6550 & 6555",0 Stnd,FOB Destination,45 Days,France,627-8,,GS-24F-0066M Exp. 10 Sep. 2022
SMP6004-Ff - VTI Instruments SMP6004 Flat Fee,0 Stnd,FOB Destination,45 Days,United States,627-2000,,GS-24F-0066M Exp. 10 Sep. 2022
"2116.23 - AEMC Instruments AC Current Probe Model MN307 (12A, 100mV/A AC, Lead)",1 Year,FOB Destination,8 Weeks,United States,627-8,MN307,GS-24F-0066M Exp. 10 Sep. 2022
EX2108-Ff - VTI Instruments EX2108 Flat Fee,0 Stnd,FOB Destination,45 Days,United States,627-2000,,GS-24F-0066M Exp. 10 Sep. 2022
778572-85 - National Instruments Corporation NI PXI-2585 10 Channel High-Current Multiplexer Switch,0 Stnd,FOB Destination,20 Days,Hungary,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
S46T-SPDT-KIT-26 - Keithley Instruments Inc. SPDT 26.5GHZ RELAY,0 Stnd,FOB Destination,12 Weeks,United States,627-33,,GS-24F-0066M Exp. 10 Sep. 2022
SMX-3279-Ff - VTI Instruments SMX-3279 Flat Fee,0 Stnd,FOB Destination,45 Days,United States,627-2000,,GS-24F-0066M Exp. 10 Sep. 2022
